image_0001,115.16766 220.807529,116.164839 245.721357,120.20869 270.389841,126.818237 293.156059,135.630967 313.719094,148.115667 336.485312,162.069155 357.782742,175.244288 375.646752,196.629641 382.645477,218.251194 381.353984,240.107363 364.628222,258.624908 347.083661,276.182758 326.369112,287.933064 300.889178,292.640683 273.327417,296.864703 246.434902,300.377962 218.496828,123.880661 214.575887,139.490678 215.929559,153.266075 219.788449,167.524839 225.304335,181.178785 232.537082,209.926602 232.365554,228.769747 226.989098,245.270669 222.183443,262.623085 220.119501,278.396024 221.284493,195.438309 247.230838,193.878987 266.412131,192.71565 283.702654,191.41345 299.777554,175.394672 303.212546,183.252244 309.321263,192.860805 313.386123,203.029501 309.992086,211.167139 305.865789,143.511472 240.605877,152.87361 234.904027,165.885257 234.655325,175.515413 243.565778,165.006732 245.420441,152.026189 244.447496,222.758288 246.624566,233.246081 239.604592,245.639459 238.31505,255.057142 244.458884,245.790086 249.092411,234.108232 249.773901,162.766194 318.246815,173.239365 319.463029,184.243161 320.665411,193.282615 323.76165,203.914072 322.47892,217.708849 323.720545,234.03978 323.266218,216.911898 345.507827,203.746197 349.087438,192.056977 349.25232,181.960552 346.648746,170.687582 338.371143,169.898521 322.774535,183.94098 324.969545,193.29101 327.191247,203.605936 327.453212,227.819411 327.220701,203.605936 336.539751,193.356785 336.194279,183.164758 334.765621
image_0346,372.332187 117.337838,372.929043 147.662162,377.88812 177.323076,384.700191 205.885793,393.839713 233.188364,411.818435 257.430891,428.228132 276.765471,449.836654 290.230169,474.082969 296.801791,500.802975 293.061243,530.74129 278.536752,550.602755 260.523061,568.456362 239.763225,581.804604 213.953255,587.371398 184.91981,591.515273 152.067649,590.61501 122.222028,388.976316 69.471056,403.554054 62.635135,416.635135 62.635135,431.5 65.013514,445.77027 71.554054,492.743243 69.77027,511.77027 62.635135,530.797297 62.040541,549.22973 62.040541,561.121622 69.175676,471.333318 102.163245,470.736462 117.923392,470.144128 132.799558,469.549534 149.149779,447.080888 171.171051,458.853612 173.819804,471.925652 177.385111,484.106931 174.118232,496.306291 172.332187,396.751595 110.240466,409.85566 101.811968,423.420843 102.307742,437.384866 112.803207,424.145937 118.273432,409.756593 117.265265,506.667865 111.631603,521.524685 100.889171,536.273058 101.173885,549.498874 108.920848,538.642824 115.658401,522.997432 117.490095,429.551123 219.533947,442.923368 201.771792,456.327916 193.437136,468.537817 197.115313,480.831752 193.510087,500.858612 205.280399,515.878729 221.199561,502.249976 244.246492,484.131792 251.392928,469.547273 251.689095,455.55735 249.306197,441.594548 241.259958,437.730813 219.531686,455.867077 212.771401,467.77027 213.067568,480.860392 213.361475,510.063857 221.410922,481.454986 223.763489,468.360345 224.654252,456.158725 221.984226
image_0347,191.256587 86.660803,193.059525 100.946957,195.632279 114.488408,200.757094 126.788041,209.9073 137.482955,222.227685 145.769237,236.187333 152.684996,250.177758 157.824923,264.954522 161.105874,276.176402 161.031392,281.544024 154.077502,285.650788 145.685144,289.361991 137.433087,291.701903 125.370776,293.90633 113.897313,295.075401 100.682539,292.309486 91.385053,224.29768 67.354455,232.118736 61.23084,240.258867 58.270342,248.587201 60.588968,256.114309 64.778634,274.228237 67.968874,279.445859 64.551731,285.492867 62.292398,291.137295 63.398969,294.679409 68.62518,269.781911 79.780714,271.978043 84.754919,274.443041 90.53645,277.877502 95.688645,262.251834 102.448439,266.259546 104.177963,270.376385 106.357803,274.821614 105.322447,278.925655 104.189752,236.51455 80.735053,241.308185 77.88103,246.390075 77.88288,250.085993 81.629908,246.122317 82.559488,241.352387 82.202043,276.1244 84.106056,280.180276 81.779703,284.297115 82.595796,286.720806 86.529747,283.639324 87.187539,279.680785 86.59071,243.215284 125.455316,251.935654 115.565874,263.88301 113.044845,270.131525 114.433179,275.161795 113.958276,279.205882 116.223666,279.641175 127.173443,277.975849 135.369344,273.575299 138.214519,268.218638 137.982485,262.733653 137.886888,251.630841 137.207995,245.127696 125.163301,264.235989 116.978796,270.387165 117.453699,275.064457 116.978796,277.695622 127.318554,273.709013 135.630757,268.405106 134.547616,262.717425 134.3485
image_0348,171.222298 123.230285,171.730572 149.790542,173.625679 177.64333,176.130643 201.553352,186.702462 222.319425,202.518061 239.143541,223.215079 254.041451,245.602332 262.415884,269.766446 269.096851,294.417346 266.886656,313.310158 257.57096,326.546777 243.085499,336.73375 227.9829,344.539187 208.712523,349.832378 185.049357,355.611999 158.234963,354.94389 131.950686,206.233902 82.831188,222.135319 70.451283,242.843497 64.751401,261.111889 69.928446,274.586286 82.36105,303.970858 84.478164,318.835642 76.840761,333.197674 75.069083,348.184127 78.474449,355.995616 91.373424,289.486609 100.746384,289.935881 118.071949,290.547178 135.665239,290.597075 152.643867,267.501368 163.796854,276.671792 167.703212,285.232359 171.377278,293.052359 170.622148,299.957393 169.496736,224.968587 108.329527,234.319266 100.205154,247.376325 100.327401,257.170501 112.018174,245.230305 112.373089,234.445215 111.435382,311.959734 115.729954,320.385922 107.689738,331.720513 107.588121,339.863135 118.627047,331.351218 120.338239,320.705 118.032872,239.486903 193.424725,253.616593 188.74275,271.75903 185.485644,281.49039 189.254974,291.652688 188.945402,302.203691 195.406411,313.266695 202.403019,300.613966 216.532221,287.786199 219.374393,277.175849 219.362562,264.916996 216.073788,250.501977 209.767967,242.930519 195.134747,270.6685 193.829151,279.900213 196.986809,290.205737 197.557482,310.333327 203.208884,288.790722 208.236612,279.115194 209.248566,267.618855 207.044281
image_0349,212.334091 138.499485,213.497357 161.324736,218.869427 185.066879,225.437085 204.458837,232.469236 220.542722,245.216798 236.566033,259.935459 249.608452,280.128922 262.39709,298.719902 263.830112,314.62049 259.55037,329.463316 249.625452,340.964914 235.39651,348.554378 218.337342,352.5289 200.670111,353.009554 181.589172,356.889589 160.851089,356.519536 141.076225,232.768865 124.312038,241.407796 116.103899,254.273957 111.367741,269.165942 111.515944,283.133247 115.831954,304.3649 113.79809,315.752629 111.224775,327.007531 111.071504,338.233321 112.861362,347.587109 118.076762,294.796147 124.766879,294.769448 141.547346,294.62915 156.833613,295.04535 173.248209,282.510268 180.534966,288.657848 182.708024,295.041692 185.109687,302.552514 182.211208,307.98516 178.951621,247.236382 131.023072,256.179058 124.269617,265.586225 123.8657,273.53527 131.754169,264.685493 132.42062,255.169266 132.513518,311.975843 128.648056,320.437865 122.795332,330.175655 124.142116,336.718657 129.556634,329.111752 131.694599,319.876427 131.467368,269.999212 212.739509,280.11909 206.462259,291.31563 200.266195,297.468083 202.177442,304.428873 199.841011,313.250985 205.974622,320.203584 209.225031,313.660593 217.35506,306.063913 221.48027,297.9891 222.82473,291.116944 222.203956,281.056688 219.254499,273.147514 212.682881,290.839424 210.903498,297.491463 211.449048,304.818471 210.994172,317.020734 209.721847,304.818471 210.994172,297.491463 211.449048,290.839424 210.903498
image_0351,263.225679 133.611748,265.690786 152.751515,269.50404 172.581059,277.655731 191.531733,284.714961 210.531406,292.793151 228.890304,302.243989 247.462794,314.427208 262.324816,330.368981 268.878547,350.157474 266.101718,367.960902 252.337358,387.301603 235.961049,400.113931 214.477846,409.351176 194.917801,410.156545 169.139082,409.844953 145.118101,409.179677 123.257542,265.715287 124.595002,266.916434 109.335082,281.889262 106.36929,294.207891 112.269466,305.983743 119.377696,330.01541 117.42018,344.40421 107.526654,360.509826 103.138334,376.691633 102.153353,387.376815 114.2095,315.3919 129.637865,314.825522 144.339863,314.222816 158.985606,313.794457 173.605769,304.036913 181.909396,308.869128 185.130872,315.714765 187.144295,326.989933 186.338926,337.862416 180.701342,279.646579 132.353185,281.651169 124.33241,292.169968 120.914934,302.643146 132.179117,294.9256 135.600485,286.166932 135.782554,341.852922 130.184583,349.277677 119.895973,358.991106 119.279697,367.825666 128.548348,361.708278 133.201983,351.46388 133.209067,302.310582 210.03763,304.036913 199.627517,314.576634 199.273696,324.849229 201.047081,341.096634 198.987754,352.81185 201.804998,359.441578 209.408577,354.952522 227.045094,344.529314 236.235573,325.885733 236.479535,312.023081 234.438158,305.223819 224.409169,305.989612 209.482091,314.852587 203.132998,324.969751 203.699706,341.298686 202.420267,356.796694 209.290735,343.788115 226.495221,326.163842 225.235752,313.467814 221.169304
image_0352,153.860922 120.808562,155.764426 141.24405,161.30612 160.01168,165.861823 177.902545,176.180654 193.775322,188.265136 206.740796,204.129569 216.829021,221.940412 224.982212,239.732305 226.645129,256.492245 224.124343,269.405056 215.052941,279.580233 201.27147,286.071384 184.677082,290.141022 165.603512,290.809715 147.36857,291.120344 130.767416,292.861677 117.960612,185.171353 103.314179,192.307207 92.985301,205.152584 89.77139,216.511246 88.015103,229.13938 91.913699,255.96701 91.542925,268.399086 89.750166,279.244028 89.592202,289.502586 95.934764,292.785292 105.046712,245.613892 105.010953,246.784624 118.98429,248.127844 132.17714,249.516331 144.447189,232.781109 151.081336,240.06852 153.452977,247.280488 157.04713,254.147478 153.767777,258.957628 150.818315,201.877217 109.209099,206.417013 104.672489,214.424556 104.454734,220.278215 108.717239,214.784624 110.856037,208.667945 111.246281,259.216723 109.316228,264.076802 104.860873,271.365308 105.343291,276.051517 109.788017,271.514966 111.583654,265.383434 111.675728,215.604493 176.634523,230.806227 172.777594,238.813771 171.216618,245.03607 173.122572,250.402439 171.404196,256.098697 173.279972,262.89515 175.528806,257.224163 182.660915,251.137661 184.581958,245.726026 185.189956,239.533904 184.987289,230.588472 183.613892,218.919906 176.867611,239.562014 178.152523,245.381048 178.585987,250.559839 177.257855,259.798469 176.289789,250.559839 177.257855,245.381048 178.585987,239.562014 178.152523
image_0353,64.27309 173.633543,66.280894 195.847146,70.286427 217.71645,77.15891 238.128993,87.376565 256.72391,104.938924 272.465694,127.641311 281.022147,149.12625 282.827556,170.355713 283.713614,186.018144 283.699234,198.628869 275.248363,207.939862 260.986405,211.308416 244.910882,212.858036 225.556404,217.666947 205.989572,217.941955 187.535703,214.372383 169.732137,97.419626 151.583012,107.837593 140.193567,123.309115 135.11889,140.555677 136.780093,153.558164 144.528712,179.833398 145.515737,187.052576 138.890894,196.751639 137.595276,205.00777 140.506413,210.844746 146.209732,165.357544 159.974172,168.874541 171.209897,173.65786 182.480845,178.980029 192.721268,162.09185 205.655453,169.322714 204.824851,176.126896 205.453494,179.810631 204.577358,183.471598 203.274538,114.590124 167.236081,125.485122 163.638434,137.715477 162.227003,142.216487 166.937222,134.917711 171.497942,123.894433 169.85021,181.240592 166.806885,188.771 163.234518,198.714158 162.374359,204.130498 165.996208,198.543838 170.540398,190.3639 170.621806,143.068404 237.827253,157.605969 228.323435,169.679615 223.237269,175.67903 224.863443,180.412 222.946417,187.706226 228.77409,193.922599 237.456753,188.572659 245.553476,181.383498 248.181888,174.559544 249.298234,169.050651 249.151161,157.858717 245.904226,152.123053 237.346006,170.356363 231.389134,174.258435 231.649771,180.025915 231.862221,186.821721 237.590946,180.613177 238.10848,174.090275 239.244276,170.006044 239.149996
image_0354,34.292991 167.67608,38.509333 192.738445,44.182525 217.479099,54.869863 240.733499,67.061644 261.237858,80.361768 280.079701,94.770237 298.921544,112.913545 309.988542,135.481059 311.332753,160.814351 302.997372,182.776231 287.116365,201.45937 267.179224,215.505495 243.549228,218.904732 217.458281,220.567248 194.183064,220.013076 168.691158,220.018715 144.365725,35.211749 142.555183,43.259287 132.527543,55.554064 127.208399,69.129609 125.938129,82.858894 127.465765,121.07298 123.608764,135.983306 117.811074,151.805088 114.801552,167.588197 116.225363,180.971643 123.569501,107.254751 149.647084,107.888032 168.396759,106.924387 189.082521,107.392645 206.8899,94.301392 208.745325,103.943555 215.424362,116.810374 217.887184,124.814452 212.483194,133.589791 207.982559,54.869863 149.849315,61.519925 142.645081,73.157534 141.536737,80.91594 147.078456,72.375943 153.751111,62.628269 153.728518,136.887298 139.874222,146.257237 134.831974,157.287267 133.496503,167.125241 138.686991,158.167103 142.390696,148.191842 143.295132,93.635065 246.977304,98.115557 237.286291,108.189557 231.935253,119.917307 232.226952,133.583089 228.03141,147.360449 229.652788,158.040563 236.012278,151.214391 245.495587,139.416289 252.64519,125.601911 256.461049,113.032073 256.81291,101.175846 253.321909,97.541096 246.275218,112.503736 244.612702,123.587173 242.950187,136.887298 240.179328,156.394105 236.854156,137.400971 240.927101,123.854947 245.336543,112.135434 244.83931
image_0355,88.852456 191.255776,87.566329 226.965499,89.241902 260.263457,94.822972 290.989161,102.768691 318.590466,116.867404 341.268008,135.055008 354.568448,157.727005 367.279454,183.772948 381.609755,213.678487 384.014103,240.798774 373.656143,262.707844 356.065576,281.195094 331.126339,291.276505 299.503954,301.678896 268.273223,309.348543 234.446679,308.612351 207.510891,124.127617 150.854039,143.481572 128.567568,166.122417 120.185287,195.035616 121.471414,212.555816 138.304055,251.750226 146.556459,272.679129 145.590406,291.67015 150.774324,303.307353 160.808354,306.889662 184.508579,233.279726 167.441842,231.566626 186.393786,230.591816 204.802157,229.837841 225.909153,198.410319 237.82801,211.545455 243.201474,224.083538 247.977887,234.730866 246.310139,244.383292 241.410319,152.430723 163.994511,163.804885 154.309252,179.993744 155.090351,192.439803 170.361179,177.513514 171.555283,162.587224 169.167076,253.499678 181.363467,267.748216 173.667533,283.706624 178.512583,288.078674 191.314275,277.058088 193.137403,264.145464 188.054956,169.499329 298.177337,189.272912 277.993978,206.766634 273.594334,219.23866 274.845209,229.96203 277.898933,243.019033 287.935378,250.377367 309.658249,235.816964 320.520761,220.494651 318.753072,207.865554 317.171721,196.330991 313.937555,182.239171 309.929746,175.837941 296.454648,205.416658 279.437574,218.136581 281.160263,228.423389 283.548469,244.038754 309.405736,221.648215 313.493072,209.478228 310.852352,198.020874 307.017529
image_0356,131.396753 98.642955,133.424637 113.577411,136.842871 123.889758,141.086843 134.680255,144.447434 148.441386,149.169555 157.29219,156.455351 165.215519,165.102678 170.632816,177.212334 170.531076,190.82763 168.850781,205.34158 161.217396,218.713635 152.19606,227.646696 140.166093,232.02283 124.961343,232.456883 108.751823,233.384359 93.803821,233.804865 77.334905,125.660691 75.539323,130.170111 71.214044,136.919413 69.040333,143.565725 68.88912,150.103045 71.169013,171.359259 67.93476,179.486066 61.372961,189.857784 58.490519,201.011142 58.780463,211.832188 63.256736,162.075903 81.874751,161.825991 90.929054,161.444593 99.964731,161.025997 108.935122,157.644813 118.821025,160.74342 119.718705,164.190475 120.385059,169.317828 118.06723,174.461014 116.428744,137.872088 93.471507,141.188582 90.082094,147.221776 88.603444,153.083363 89.104449,148.538277 93.367,142.333086 94.297244,180.671126 83.551834,183.237377 81.543019,190.994201 81.036724,198.620397 82.44871,192.679922 85.322132,186.206018 85.36323,156.28431 140.9525,158.522626 132.965789,163.356062 129.946601,167.952655 130.589606,172.904372 128.773399,180.224967 130.805166,190.92321 134.950228,183.032024 143.164834,176.540247 146.524847,171.499936 147.530609,166.681986 147.928414,161.409594 145.691083,158.907334 139.916427,164.106396 135.3615,168.689733 134.174244,173.592681 133.520553,186.424275 136.18762,174.902458 138.143002,169.918319 139.23291,164.840236 140.036511
image_0357,54.06594 215.245027,53.03303 240.838181,53.007831 265.479559,56.41726 288.595391,64.087092 309.41307,75.884386 327.278299,95.17221 335.866236,119.867106 350.686324,143.545903 355.857661,161.491873 352.948627,172.326007 335.992267,182.823679 314.840683,189.177867 294.927145,195.196152 278.137534,200.878534 259.282106,202.790383 244.944616,201.292804 224.101737,88.756437 193.078204,101.490014 179.13255,120.295404 174.608177,140.167076 178.221786,158.65033 184.58216,174.133987 186.541645,185.167253 184.217511,194.627914 185.951409,202.479681 190.987186,206.510515 198.449884,166.823458 202.61198,168.997703 217.874298,172.742116 233.28856,174.581092 251.025045,146.173697 255.354839,155.086341 261.398324,163.274011 266.716836,169.549832 263.385774,173.423931 259.486475,105.285746 201.165073,116.882846 191.686958,127.550604 192.848635,135.377171 204.006264,124.689314 206.831468,113.737088 205.214134,175.384252 211.372702,183.109181 203.076923,194.524346 205.142741,196.98688 215.377104,190.960949 217.643981,182.669711 216.997376,117.949476 292.100869,134.083961 283.895517,148.962388 281.100996,155.89101 282.956684,161.21192 281.98827,173.74299 288.600051,177.94187 292.628992,175.512183 304.869931,164.432921 313.623072,157.35376 313.958975,149.112923 313.673473,134.619125 311.536582,124.012407 291.618517,148.466182 288.136879,155.79771 288.657661,161.869606 288.438335,171.152206 297.61456,162.781373 304.04139,155.80578 304.867164,148.415917 305.253467
image_0358,81.565833 117.144474,85.149649 129.832147,90.958411 140.601011,96.403292 151.137219,103.18391 163.284417,112.606679 175.48769,122.402045 184.547582,134.70985 194.103781,147.980592 190.716679,162.841548 186.471038,172.833397 177.071456,181.682139 163.9549,189.017913 149.669209,190.376515 131.883603,189.647126 116.097831,185.903951 103.20447,181.185847 89.721497,85.564484 120.501143,88.46988 112.502791,96.794298 109.619296,104.184319 109.702638,113.345039 112.131695,133.609958 100.407321,140.50723 94.314265,147.88995 90.619255,157.261309 91.41617,165.368102 94.19074,123.477239 116.293899,126.282877 127.215453,128.914588 136.858429,131.530544 146.206172,123.937313 149.656992,128.986309 151.170445,133.751392 152.110801,139.130501 147.970249,144.939432 143.377931,97.092153 121.401659,101.376886 116.468377,108.364564 115.61139,113.286057 118.506165,108.178561 122.538975,101.556372 123.725498,139.606917 109.117259,143.036968 103.681752,149.523359 101.735699,155.9121 103.818743,151.631056 107.0441,145.672123 109.208152,124.821747 167.313892,128.225299 163.077748,132.643963 160.792578,138.152968 161.079992,144.451025 158.068602,151.331653 157.077322,158.031642 157.278234,153.498426 162.560811,148.461056 165.955846,142.213488 169.346301,136.290439 170.691383,131.14883 170.027902,127.976766 166.262233,133.904846 164.11133,139.580238 163.634514,145.911237 161.277887,155.413768 158.316903,145.911237 161.277887,139.580238 163.634514,133.904846 164.11133
